time,q1,q2,q1_dot,q2_dot
0.0000,0.00000000,0.50000000,0.42411501,-0.00000000
0.0100,0.00424109,0.49998668,0.42409617,-0.00266475
0.0200,0.00848180,0.49994671,0.42403967,-0.00532927
0.0300,0.01272176,0.49988009,0.42394549,-0.00799331
0.0400,0.01696058,0.49978684,0.42381366,-0.01065665
0.0500,0.02119790,0.49966696,0.42364419,-0.01331904
0.0600,0.02543334,0.49952047,0.42343708,-0.01598024
0.0700,0.02966652,0.49934736,0.42319236,-0.01864002
0.0800,0.03389706,0.49914767,0.42291006,-0.02129815
0.0900,0.03812459,0.49892141,0.42259018,-0.02395439
0.1000,0.04234874,0.49866859,0.42223277,-0.02660850
0.1100,0.04656913,0.49838924,0.42183786,-0.02926024
0.1200,0.05078537,0.49808339,0.42140547,-0.03190939
0.1300,0.05499711,0.49775107,0.42093565,-0.03455570
0.1400,0.05920396,0.49739229,0.42042844,-0.03719895
0.1500,0.06340555,0.49700710,0.41988389,-0.03983888
0.1600,0.06760152,0.49659552,0.41930204,-0.04247528
0.1700,0.07179147,0.49615760,0.41868295,-0.04510791
0.1800,0.07597505,0.49569338,0.41802667,-0.04773653
0.1900,0.08015188,0.49520289,0.41733325,-0.05036091
0.2000,0.08432159,0.49468618,0.41660277,-0.05298082
0.2100,0.08848381,0.49414329,0.41583528,-0.05559602
0.2200,0.09263817,0.49357427,0.41503085,-0.05820628
0.2300,0.09678431,0.49297918,0.41418956,-0.06081137
0.2400,0.10092184,0.49235806,0.41331147,-0.06341106
0.2500,0.10505041,0.49171098,0.41239668,-0.06600512
0.2600,0.10916965,0.49103798,0.41144525,-0.06859332
0.2700,0.11327920,0.49033913,0.41045728,-0.07117542
0.2800,0.11737868,0.48961449,0.40943284,-0.07375120
0.2900,0.12146773,0.48886413,0.40837204,-0.07632043
0.3000,0.12554600,0.48808811,0.40727496,-0.07888288
0.3100,0.12961311,0.48728649,0.40614171,-0.08143832
0.3200,0.13366871,0.48645936,0.40497238,-0.08398653
0.3300,0.13771244,0.48560679,0.40376708,-0.08652728
0.3400,0.14174393,0.48472884,0.40252592,-0.08906034
0.3500,0.14576284,0.48382561,0.40124900,-0.09158549
0.3600,0.14976880,0.48289716,0.39993644,-0.09410251
0.3700,0.15376145,0.48194359,0.39858835,-0.09661117
0.3800,0.15774044,0.48096497,0.39720486,-0.09911124
0.3900,0.16170543,0.47996139,0.39578609,-0.10160252
0.4000,0.16565605,0.47893295,0.39433216,-0.10408477
0.4100,0.16959195,0.47787973,0.39284321,-0.10655777
0.4200,0.17351280,0.47680182,0.39131936,-0.10902131
0.4300,0.17741823,0.47569933,0.38976075,-0.11147516
0.4400,0.18130790,0.47457235,0.38816752,-0.11391911
0.4500,0.18518146,0.47342098,0.38653981,-0.11635294
0.4600,0.18903858,0.47224533,0.38487776,-0.11877644
0.4700,0.19287890,0.47104549,0.38318153,-0.12118939
0.4800,0.19670209,0.46982158,0.38145127,-0.12359157
0.4900,0.20050782,0.46857369,0.37968712,-0.12598278
0.5000,0.20429572,0.46730196,0.37788924,-0.12836279
0.5100,0.20806549,0.46600648,0.37605780,-0.13073140
0.5200,0.21181677,0.46468737,0.37419295,-0.13308840
0.5300,0.21554924,0.46334475,0.37229487,-0.13543358
0.5400,0.21926256,0.46197874,0.37036371,-0.13776673
0.5500,0.22295640,0.46058945,0.36839966,-0.14008764
0.5600,0.22663044,0.45917703,0.36640289,-0.14239611
0.5700,0.23028435,0.45774157,0.36437357,-0.14469192
0.5800,0.23391780,0.45628323,0.36231188,-0.14697489
0.5900,0.23753048,0.45480212,0.36021801,-0.14924480
0.6000,0.24112206,0.45329838,0.35809215,-0.15150146
0.6100,0.24469222,0.45177214,0.35593447,-0.15374465
0.6200,0.24824064,0.45022353,0.35374518,-0.15597420
0.6300,0.25176702,0.44865270,0.35152447,-0.15818988
0.6400,0.25527103,0.44705978,0.34927253,-0.16039152
0.6500,0.25875236,0.44544492,0.34698957,-0.16257890
0.6600,0.26221072,0.44380825,0.34467579,-0.16475185
0.6700,0.26564578,0.44214993,0.34233139,-0.16691016
0.6800,0.26905724,0.44047010,0.33995659,-0.16905365
0.6900,0.27244481,0.43876890,0.33755159,-0.17118212
0.7000,0.27580817,0.43704650,0.33511660,-0.17329539
0.7100,0.27914704,0.43530305,0.33265185,-0.17539326
0.7200,0.28246111,0.43353869,0.33015755,-0.17747555
0.7300,0.28575009,0.43175359,0.32763392,-0.17954208
0.7400,0.28901369,0.42994790,0.32508119,-0.18159266
0.7500,0.29225162,0.42812179,0.32249958,-0.18362711
0.7600,0.29546359,0.42627541,0.31988933,-0.18564525
0.7700,0.29864931,0.42440894,0.31725066,-0.18764690
0.7800,0.30180851,0.42252253,0.31458382,-0.18963188
0.7900,0.30494090,0.42061636,0.31188903,-0.19160002
0.8000,0.30804620,0.41869059,0.30916654,-0.19355113
0.8100,0.31112414,0.41674539,0.30641658,-0.19548506
