time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
24.333736,-0.39296810,0.05382496,0.80146326,1.65369113,-1.19443136,-1.59986617,1.99655654
24.353820,-0.39703105,0.05878882,0.79169531,1.64145418,-1.18872636,-1.58266536,1.97936859
24.373865,-0.40095294,0.06380285,0.78121153,1.41643155,-1.18216447,-1.35262870,1.79641789
24.394130,-0.40473236,0.06886527,0.73934819,1.30737029,-1.14408055,-1.23850502,1.68606494
24.413878,-0.40836799,0.07397428,0.64567042,1.38133917,-1.05403841,-1.30736489,1.67934508
24.433845,-0.41185853,0.07912807,0.58506094,1.17867055,-0.99691947,-1.09954248,1.48419746
24.453775,-0.41520273,0.08432480,0.50084381,1.09024839,-0.91604654,-1.00592359,1.36052325
24.474239,-0.41839942,0.08956263,0.40901254,1.02932045,-0.82741196,-0.93975782,1.25210036
24.494470,-0.42144745,0.09483970,0.36186251,0.77453702,-0.78330996,-0.67969732,1.03709350
24.514219,-0.42434574,0.10015414,0.23503635,0.88526202,-0.65938209,-0.78510788,1.02527026
24.534220,-0.42709327,0.10550404,0.15419845,0.79414830,-0.58129172,-0.68864426,0.90118310
24.553907,-0.42968905,0.11088753,0.15194000,0.42726075,-0.58162905,-0.31637322,0.66210601
24.574772,-0.43213216,0.11630267,0.07693317,0.37603944,-0.50906533,-0.25973677,0.57149865
24.594348,-0.43442174,0.12174755,0.10115280,-0.04089040,-0.53557454,0.16263795,0.55972421
24.614264,-0.43655697,0.12722023,-0.10591544,0.44198337,-0.33064153,-0.31476314,0.45650811
24.634010,-0.43853709,0.13271877,-0.17435997,0.39916212,-0.26417712,-0.26644335,0.37520875
24.654078,-0.44036141,0.13824122,-0.15400706,0.02409938,-0.28635435,0.11414184,0.30826478
24.674288,-0.44202926,0.14378561,-0.35704512,0.52188050,-0.08498414,-0.37809489,0.38752813
24.694286,-0.44354007,0.14934997,-0.41938358,0.49424592,-0.02415649,-0.34489595,0.34574087
24.714175,-0.44489329,0.15493232,-0.37798236,0.09412900,-0.06691093,0.06080332,0.09041082
24.733976,-0.44608843,0.16053069,-0.54210878,0.51516590,0.09602035,-0.35463521,0.36740446
24.754327,-0.44712509,0.16614308,-0.57688056,0.45096036,0.12975547,-0.28481728,0.31298141
24.774303,-0.44800288,0.17176751,-0.51041194,0.02071977,0.06240906,0.15104774,0.16343289
24.794313,-0.44872151,0.17740196,-0.66181302,0.45104785,0.21309151,-0.27364589,0.34682858
24.813832,-0.44928070,0.18304444,-0.67811355,0.37789678,0.22883285,-0.19485234,0.30055267
24.833807,-0.44968026,0.18869295,-0.59293739,-0.06683223,0.14325713,0.25552518,0.29294321
24.854228,-0.44992006,0.19434547,-0.62435466,-0.05351619,0.17443460,0.24786166,0.30308881
24.873736,-0.45000000,0.20000000,-0.53394517,-0.50136235,0.08394517,0.70136235,0.70636814
24.893732,-0.44992006,0.20565453,-0.55307181,-0.52978071,0.10315175,0.73543524,0.74263401
24.913898,-0.44968026,0.21130705,-0.48620099,-0.90459658,0.03652073,1.11590363,1.11650109
24.933679,-0.44928070,0.21695556,-0.55899800,-0.73221345,0.10971730,0.94916901,0.95548925
24.954449,-0.44872151,0.22259804,-0.62557825,-0.52318101,0.17685674,0.74577905,0.76646246
24.974468,-0.44800288,0.22823249,-0.56915961,-0.77700218,0.12115673,1.00523467,1.01250960
24.994388,-0.44712509,0.23385692,-0.63036460,-0.54651928,0.18323951,0.78037620,0.80160073
25.014275,-0.44608843,0.23946931,-0.65104039,-0.45338654,0.20495196,0.69285585,0.72253342
25.034005,-0.44489329,0.24506768,-0.56496023,-0.76401014,0.12006694,1.00907782,1.01619591
25.054217,-0.44354007,0.25065003,-0.56467344,-0.73285021,0.12113337,0.98350024,0.99093190
25.074270,-0.44202926,0.25621439,-0.51313537,-0.88999118,0.07110611,1.14620557,1.14840902
25.094450,-0.44036141,0.26175878,-0.57817643,-0.56541682,0.13781502,0.82717560,0.83857764
25.114267,-0.43853709,0.26728123,-0.54742689,-0.62238519,0.10888980,0.88966642,0.89630538
25.133951,-0.43655697,0.27277977,-0.45845802,-0.91668853,0.02190105,1.18946830,1.18966991
25.154683,-0.43442174,0.27825245,-0.46952264,-0.81527669,0.03510090,1.09352914,1.09409234
25.174202,-0.43213216,0.28369733,-0.47192461,-0.72837030,0.03979245,1.01206763,1.01284961
25.194211,-0.42968905,0.28911247,-0.50135754,-0.51232140,0.07166849,0.80143387,0.80463198
25.214113,-0.42709327,0.29449596,-0.40226852,-0.81418243,-0.02482475,1.10867839,1.10895628
25.233926,-0.42434574,0.29984586,-0.38518935,-0.80555071,-0.03915639,1.10539657,1.10608987
25.254212,-0.42144745,0.30516030,-0.42701195,-0.56847885,0.00556450,0.87363915,0.87365688
25.274476,-0.41839942,0.31043737,-0.34746463,-0.80888582,-0.07093479,1.11932319,1.12156861
25.294263,-0.41520273,0.31567520,-0.38080379,-0.60439377,-0.03439894,0.92006897,0.92071179
25.314305,-0.41185853,0.32087193,-0.43864520,-0.30591307,0.02678667,0.62678500,0.62735712
25.333996,-0.40836799,0.32602572,-0.31665513,-0.71082181,-0.09171286,1.03684753,1.04089579
25.354333,-0.40473236,0.33113473,-0.31116604,-0.67389213,-0.09356632,1.00502686,1.00937289
25.374055,-0.40095294,0.33619715,-0.37821971,-0.36323340,-0.02273323,0.69943055,0.69979990
25.394313,-0.39703105,0.34121118,-0.26276721,-0.77980107,-0.13426384,1.12101225,1.12902403
25.414209,-0.39296810,0.34617504,-0.24487331,-0.84143477,-0.14809479,1.18760981,1.19680789
25.434174,-0.38876554,0.35108696,-0.34491601,-0.43225507,-0.04384953,0.78334203,0.78456836
25.454271,-0.38442484,0.35594520,-0.32014455,-0.50895735,-0.06428029,0.86490255,0.86728794
25.474323,-0.37994757,0.36074804,-0.22930522,-0.86023336,-0.15064235,1.22098140,1.23023928
25.511306,-0.37765820,0.36312814,-0.28785322,-0.63414965,-0.08980498,0.99727779,1.00131310
25.514140,-0.37533530,0.36549376,-0.33987868,-0.42778985,-0.03545662,0.79328361,0.79407560
25.534257,-0.37058967,0.37018068,-0.29778347,-0.58601219,-0.07280620,0.95619287,0.95896066
25.554328,-0.36571237,0.37480714,-0.29425888,-0.57545509,-0.07145349,0.95026223,0.95294486
25.574283,-0.36070514,0.37937149,-0.36731833,-0.27602744,0.00661319,0.65539893,0.65543229
25.594273,-0.35556976,0.38387212,-0.25602950,-0.69656749,-0.09954026,1.08043961,1.08501521
25.614306,-0.35030804,0.38830741,-0.26240815,-0.67533668,-0.08789989,1.06364409,1.06726995
25.634376,-0.34492185,0.39267580,-0.33634293,-0.38829388,-0.00857892,0.78096968,0.78101680
25.654388,-0.33941312,0.39697573,-0.23701143,-0.78127879,-0.10240169,1.17825452,1.18269600
25.674380,-0.33378380,0.40120567,-0.23889463,-0.79717277,-0.09488917,1.19837844,1.20212930
25.694338,-0.32803588,0.40536413,-0.33162274,-0.44279017,0.00358686,0.84815430,0.84816189
25.714224,-0.32217142,0.40944963,-0.27620776,-0.66270987,-0.04596366,1.07215950,1.07314428
25.734110,-0.31619249,0.41346070,-0.28710691,-0.60168396,-0.02908558,1.01514466,1.01556125
25.754215,-0.31010121,0.41739594,-0.35989599,-0.29318607,0.04979478,0.71058201,0.71232458
25.774358,-0.30389976,0.42125394,-0.24707618,-0.70517432,-0.05682358,1.12642826,1.12786061
25.794304,-0.29759034,0.42503332,-0.24888236,-0.68501960,-0.04870798,1.11005292,1.11112103
25.814393,-0.29117518,0.42873275,-0.32138125,-0.38594534,0.03020607,0.81467809,0.81523788
25.834411,-0.28465657,0.43235092,-0.21452674,-0.78952766,-0.07012983,1.22187858,1.22388948
25.854369,-0.27803683,0.43588653,-0.20263498,-0.84248888,-0.07540185,1.27837541,1.28059717
25.874369,-0.27131829,0.43933833,-0.30282709,-0.43799365,0.03150880,0.87733198,0.87789761
25.894334,-0.26450336,0.44270510,-0.27630836,-0.52167249,0.01180500,0.96437759,0.96444984
25.914288,-0.25759446,0.44598563,-0.19867754,-0.80642947,-0.05891692,1.25241510,1.25380013
25.934305,-0.25059403,0.44917877,-0.26995608,-0.50600058,0.01936205,0.95517935,0.95537557
25.954288,-0.24350456,0.45228337,-0.25653914,-0.53887422,0.01303458,0.99115759,0.99124330
25.974232,-0.23632858,0.45529834,-0.16213414,-0.89733133,-0.07419444,1.35262967,1.35466300
25.994294,-0.22906864,0.45822261,-0.21152858,-0.69465869,-0.01754006,1.15288130,1.15301472
26.014243,-0.22172730,0.46105513,-0.28061828,-0.39177564,0.05889098,0.85283077,0.85486166
26.034369,-0.21430719,0.46379489,-0.17631706,-0.76426553,-0.03799013,1.22806042,1.22864789
26.054341,-0.20681094,0.46644093,-0.17545371,-0.74270597,-0.03135723,1.20914690,1.20955343
