time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
74.453908,0.42144745,0.30516030,1.18670620,2.02411138,-0.76525875,-1.71895108,1.88159873
74.474388,0.42434574,0.29984586,1.16155106,1.91677982,-0.73720532,-1.61693396,1.77706137
74.494496,0.42709327,0.29449596,1.12594204,1.71695022,-0.69884877,-1.42245426,1.58485511
74.514685,0.42968905,0.28911247,1.08932015,1.50451639,-0.65963110,-1.21540392,1.38286654
74.534449,0.43213216,0.28369733,1.05112052,1.31048147,-0.61898836,-1.02678414,1.19892963
74.554026,0.43442174,0.27825245,1.00944583,1.14317690,-0.57502409,-0.86492445,1.03862747
74.574426,0.43655697,0.27277977,0.96368854,1.00156645,-0.52713157,-0.72878668,0.89944300
74.594401,0.43853709,0.26728123,0.91542317,0.87972890,-0.47688608,-0.61244767,0.77621678
74.614396,0.44036141,0.26175878,0.86613076,0.77348993,-0.42576935,-0.51173115,0.66569386
74.634375,0.44202926,0.25621439,0.81672485,0.68154434,-0.37469559,-0.42532995,0.56683538
74.653961,0.44354007,0.25065003,0.76838989,0.60061093,-0.32484982,-0.34996090,0.47749349
74.674407,0.44489329,0.24506768,0.72184400,0.53007918,-0.27695071,-0.28501150,0.39740816
74.694442,0.44608843,0.23946931,0.67763809,0.46924015,-0.23154966,-0.22977084,0.32620527
74.714766,0.44712509,0.23385692,0.63677852,0.41500885,-0.18965343,-0.18115193,0.26226789
74.734418,0.44800288,0.22823249,0.59986262,0.36523963,-0.15185974,-0.13700714,0.20452955
74.754012,0.44872151,0.22259804,0.56600769,0.32355878,-0.11728618,-0.10096074,0.15475503
74.774336,0.44928070,0.21695556,0.53523573,0.29055910,-0.08595503,-0.07360354,0.11316249
74.794362,0.44968026,0.21130705,0.50928523,0.25862936,-0.05960497,-0.04732231,0.07610620
74.814373,0.44992006,0.20565453,0.48663517,0.23235177,-0.03671511,-0.02669724,0.04539539
74.833974,0.45000000,0.20000000,0.46745050,0.20929629,-0.01745050,-0.00929629,0.01977223
74.853987,0.44992006,0.19434547,0.45193672,0.18759287,-0.00201666,0.00675260,0.00704730
74.873957,0.44968026,0.18869295,0.43939322,0.16889935,0.01028704,0.01979360,0.02230717
74.894067,0.44928070,0.18304444,0.42862013,0.15578224,0.02066057,0.02726220,0.03420653
74.914110,0.44872151,0.17740196,0.42085972,0.14303112,0.02786179,0.03437084,0.04424516
74.934043,0.44800288,0.17176751,0.41508882,0.13205140,0.03291406,0.03971611,0.05158202
74.954035,0.44712509,0.16614308,0.41100022,0.12284888,0.03612487,0.04329420,0.05638612
74.973990,0.44608843,0.16053069,0.40821018,0.11570323,0.03787825,0.04482746,0.05868784
74.994074,0.44489329,0.15493232,0.40687523,0.10865906,0.03801806,0.04627326,0.05988813
75.013948,0.44354007,0.14934997,0.40628270,0.10325828,0.03725737,0.04609169,0.05926681
75.034301,0.44202926,0.14378561,0.40657185,0.09842587,0.03545741,0.04535974,0.05757373
75.054412,0.44036141,0.13824122,0.40670931,0.09744807,0.03365210,0.04079315,0.05288237
75.074376,0.43853709,0.13271877,0.40784119,0.09423591,0.03069590,0.03848286,0.04922570
75.094466,0.43655697,0.12722023,0.40857540,0.09392008,0.02798157,0.03330015,0.04349561
75.114436,0.43442174,0.12174755,0.40996440,0.09147567,0.02445734,0.03027188,0.03891719
75.134435,0.43213216,0.11630267,0.41123010,0.08918499,0.02090206,0.02711768,0.03423835
75.154261,0.42968905,0.11088753,0.41272606,0.08516932,0.01696299,0.02571821,0.03080859
75.174354,0.42709327,0.10550404,0.41449838,0.07878442,0.01259489,0.02671962,0.02953928
75.194455,0.42434574,0.10015414,0.41500390,0.07535118,0.00934184,0.02480296,0.02650390
75.214441,0.42144745,0.09483970,0.41518384,0.07165309,0.00626361,0.02318661,0.02401773
75.234439,0.41839942,0.08956263,0.41481795,0.06772426,0.00358147,0.02183837,0.02213010
75.254297,0.41520273,0.08432480,0.41369257,0.06504909,0.00151016,0.01927571,0.01933478
75.274432,0.41185853,0.07912807,0.41199561,0.06321324,-0.00013708,0.01591483,0.01591542
75.294426,0.40836799,0.07397428,0.40959044,0.06246909,-0.00122245,0.01150519,0.01156995
75.314431,0.40473236,0.06886527,0.40667523,0.06170872,-0.00194287,0.00715655,0.00741558
75.334409,0.40095294,0.06380285,0.40436649,0.05650688,-0.00341355,0.00729597,0.00805503
75.354342,0.39703105,0.05878882,0.40128740,0.05282063,-0.00425635,0.00596819,0.00733047
75.374367,0.39296810,0.05382496,0.39869959,0.04555538,-0.00573149,0.00826958,0.01006161
75.394371,0.38876554,0.04891304,0.39509075,0.04066024,-0.00632521,0.00825280,0.01039793
75.413972,0.38442484,0.04405480,0.39129726,0.03513863,-0.00687242,0.00891617,0.01125737
75.434318,0.37994757,0.03925196,0.38750373,0.02805410,-0.00755616,0.01119786,0.01350880
75.454427,0.37533530,0.03450624,0.38292945,0.02272432,-0.00759415,0.01178192,0.01401730
75.474456,0.37058967,0.02981932,0.37743868,0.01967827,-0.00684901,0.01014105,0.01223723
75.494692,0.36571237,0.02519286,0.37148300,0.01748713,-0.00577063,0.00770573,0.00962697
75.514435,0.36070514,0.02062851,0.36551131,0.01425702,-0.00480617,0.00637149,0.00798093
75.534246,0.35556976,0.01612788,0.35947391,0.01027784,-0.00390415,0.00585004,0.00703316
75.554229,0.35030804,0.01169259,0.35296688,0.00721146,-0.00265884,0.00448113,0.00521056
75.574351,0.34492185,0.00732420,0.34685766,0.00239138,-0.00193581,0.00493282,0.00529907
75.594406,0.33941312,0.00302427,0.34018013,-0.00052114,-0.00076701,0.00354541,0.00362743
75.614384,0.33378380,-0.00120567,0.33384343,-0.00465470,-0.00005963,0.00344903,0.00344955
75.634383,0.32803588,-0.00536413,0.32764728,-0.00988337,0.00038860,0.00451924,0.00453592
75.654417,0.32217142,-0.00944963,0.32115211,-0.01419799,0.00101931,0.00474836,0.00485653
75.674484,0.31619249,-0.01346070,0.31455394,-0.01798243,0.00163855,0.00452173,0.00480946
75.693989,0.31010121,-0.01739594,0.30794087,-0.02176068,0.00216034,0.00436474,0.00487011
75.714390,0.30389976,-0.02125394,0.30078100,-0.02359940,0.00311876,0.00234546,0.00390228
75.734483,0.29759034,-0.02503332,0.29401798,-0.02647631,0.00357236,0.00144299,0.00385279
75.754486,0.29117518,-0.02873275,0.28791627,-0.03214724,0.00325891,0.00341449,0.00472009
75.774431,0.28465657,-0.03235092,0.28167871,-0.03733861,0.00297786,0.00498769,0.00580902
75.793999,0.27803683,-0.03588653,0.27517477,-0.04151433,0.00286206,0.00562780,0.00631376
75.813972,0.27131829,-0.03933833,0.26891297,-0.04642133,0.00240532,0.00708300,0.00748027
75.834221,0.26450336,-0.04270510,0.26222435,-0.04966036,0.00227901,0.00695526,0.00731912
75.854055,0.25759446,-0.04598563,0.25436025,-0.04811153,0.00323421,0.00212590,0.00387034
75.874234,0.25059403,-0.04917877,0.24690302,-0.04772701,0.00369101,-0.00145176,0.00396625
75.894103,0.24350456,-0.05228337,0.24005128,-0.04924466,0.00345328,-0.00303871,0.00459988
75.914070,0.23632858,-0.05529834,0.23361584,-0.05245203,0.00271274,-0.00284631,0.00393198
75.934066,0.22906864,-0.05822261,0.22675395,-0.05401658,0.00231469,-0.00420603,0.00480088
